KECAMATAN,DESA,KAMPUNG,RT/RW,LUAS (Ha),KEWENANGAN,Bobot Kumuh,Tingkat Kekumuhan Awal,Pembagian Kawasan Kumuh,BANGUNAN-JALAN LINGKUNGAN (Unit)-KEBUTUHAN,BANGUNAN-JALAN LINGKUNGAN (Unit)-NUMERIK,BANGUNAN-RELOKASI (Ha)-KEBUTUHAN,BANGUNAN-RELOKASI (Ha)-NUMERIK,BANGUNAN-RTLH (Unit)-KEBUTUHAN,BANGUNAN-RTLH (Unit)-NUMERIK,JALAN LINGKUNGAN-JALAN BARU (M)-KEBUTUHAN,JALAN LINGKUNGAN-JALAN BARU (M)-NUMERIK,JALAN LINGKUNGAN-JALAN RUSAK (M)-KEBUTUHAN,JALAN LINGKUNGAN-JALAN RUSAK (M)-NUMERIK,AIR MINUM-SAB AKSES (KK)-KEBUTUHAN,AIR MINUM-SAB AKSES (KK)-NUMERIK,AIR MINUM-SAB KEBUTUHAN (KK)-KEBUTUHAN,AIR MINUM-SAB KEBUTUHAN (KK)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE LIMPASAN (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE LIMPASAN (M)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE BARU (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE BARU (M)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE RUSAK (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE RUSAK (M)-NUMERIK,SANITASI-SETPITENG KOMUNAL (KK)-KEBUTUHAN,SANITASI-SETPITENG KOMUNAL (KK)-NUMERIK,SANITASI-JAMBAN PRIBADI (KK)-KEBUTUHAN,SANITASI-JAMBAN PRIBADI (KK)-NUMERIK,PERSAMPAHAN-TPS/TPST (KK)-KEBUTUHAN,PERSAMPAHAN-TPS/ TPST (KK)-NUMERIK,PERSAMPAHAN-TPS3R/ BANK SAMPAH (KK) -KEBUTUHAN,PERSAMPAHAN-TPS3R/ BANK SAMPAH (KK) -NUMERIK,PROTEKSI KEBAKARAN-JALAN LINGKUNGAN/ SUMBER AIR (KK)-KEBUTUHAN,PROTEKSI KEBAKARAN-JALAN LINGKUNGAN/ SUMBER AIR (KK)-NUMERIK,PROTEKSI KEBAKARAN-APAR/ MOBIL/MOTOR DAMKAR-KEBUTUHAN,PROTEKSI KEBAKARAN-APAR/ MOBIL/MOTOR DAMKAR-NUMERIK
BAROS,SINDANGMANDI,KP. KALAHANG,RT015-RW003,0.936220417559,KAB/KOTA,22,KUMUH RINGAN,Kawasan Perkotaan Selatan,6,0,0,0,4,0,0,0,120,1,0,0,0,0,0,0,150,1,0,0,4,0,4,0,37,5,37,5,37,5,35,5
BAROS,SINDANGMANDI,KP. KALAHANG,RT016-RW004,1.41030304246,KAB/KOTA,25,KUMUH RINGAN,Kawasan Perkotaan Selatan,3,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,500,5,0,0,1,0,1,0,64,5,64,5,64,5,54,5
BAROS,SUKACAI,KP. SUKACAI,RT001-RW001,1.25048727703,KAB/KOTA,33,KUMUH RINGAN,Kawasan Perkotaan Selatan,61,5,0,0,4,0,0,0,350,5,0,0,0,0,0,0,210,3,50,0,0,0,0,0,94,5,94,5,94,5,61,5
BAROS,SUKACAI,KP. SUKACAI,RT002-RW001,1.655381002,KAB/KOTA,26,KUMUH RINGAN,Kawasan Perkotaan Selatan,21,1,0,0,3,0,0,0,815,5,0,0,0,0,0,0,100,0,840,5,0,0,0,0,91,5,91,5,91,0,58,5
BAROS,SUKACAI,KP. SUKACAI,RT003-RW001,1.16764433012,KAB/KOTA,25,KUMUH RINGAN,Kawasan Perkotaan Selatan,5,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,100,5,0,0,0,0,54,5,54,5,54,5,54,0,43,5
BAROS,SUKACAI,KP. SUKACAI,RT004-RW001,1.88147553503,KAB/KOTA,28,KUMUH RINGAN,Kawasan Perkotaan Selatan,9,0,0,0,3,0,200,0,550,3,0,0,0,0,0,0,150,5,0,0,0,0,89,5,89,5,89,5,89,0,63,5
BAROS,SUKAMENAK,KP. KADU TIKUKUR,RT002-RW001,0.915668333988,KAB/KOTA,35,KUMUH RINGAN,Kawasan Perkotaan Selatan,8,0,0,0,29,5,0,0,875,3,27,3,0,0,0,0,325,3,200,1,0,0,3,0,42,5,42,5,42,5,34,5
BAROS,SUKAMENAK,KP. KADU LADUR,RT005-RW002,1.22925411907,KAB/KOTA,26,KUMUH RINGAN,Kawasan Perkotaan Selatan,2,0,0,0,6,0,0,0,420,1,12,0,0,0,0,0,350,5,100,0,0,0,0,0,55,5,55,5,55,5,40,5
BAROS,SUKAMENAK,KP. TEJAMARI,RT008-RW003,1.58228622417,KAB/KOTA,41,KUMUH SEDANG,Kawasan Perkotaan Selatan,47,5,0,0,29,3,0,0,800,3,0,0,73,5,0,0,150,5,0,0,7,0,14,0,73,5,73,5,73,5,52,5
BAROS,TAMANSARI,KP. LENGGOR ,RT003-RW002,1.63725032488,KAB/KOTA,26,KUMUH RINGAN,Kawasan Perkotaan Selatan,1,0,0,0,2,0,0,0,325,1,0,0,0,0,0,0,400,5,0,0,3,0,3,0,70,5,70,5,70,5,54,5
